fonts/fonts-cns11643-pixmaps,110999
x11/papirus-icon-theme,69475
fonts/texlive-fonts-extra,65577
games/flightgear-data-base,62458
devel/piglit,49913
doc/trilinos-doc,49591
x11/obsidian-icon-theme,48829
games/widelands-data,34984
doc/libreoffice-dev-doc,33669
misc/moka-icon-theme,33326
