debian-installer/brltty-udeb,351
debian-installer/xkb-data-udeb,291
debian-installer/ca-certificates-udeb,257
debian-installer/libwacom-common-udeb,256
debian-installer/espeak-ng-data-udeb,240
debian-installer/fonts-noto-unhinted-udeb,215
debian-installer/sound-modules-4.19.0-5-amd64-di,194
debian-installer/espeak-data-udeb,162
debian-installer/nic-modules-4.19.0-5-amd64-di,141
debian-installer/console-keymaps-at,128
